muertes,muertes_probables,total_muertes,sospechas,pcr_positivas,pcr_negativas,created_at
0,0,0,0,1,0,15/02/2020
0,0,0,0,1,0,16/02/2020
0,0,0,0,1,0,17/02/2020
0,0,0,3,1,0,18/02/2020
0,0,0,3,2,0,19/02/2020
0,0,0,12,2,5,20/02/2020
0,0,0,13,7,5,21/02/2020
0,0,0,18,8,5,22/02/2020
0,0,0,25,8,5,23/02/2020
0,0,0,29,11,5,24/02/2020
0,0,0,31,15,5,25/02/2020
0,0,0,31,15,5,26/02/2020
0,0,0,43,28,5,27/02/2020
0,0,0,55,31,5,28/02/2020
0,0,0,55,31,5,29/02/2020
0,0,0,111,52,5,01/03/2020
0,1,1,151,67,5,02/03/2020
1,0,1,184,92,5,03/03/2020
1,0,1,213,105,5,04/03/2020
1,0,1,245,134,5,05/03/2020
1,1,2,269,155,5,06/03/2020
2,0,2,287,182,5,07/03/2020
2,0,2,308,213,5,08/03/2020
2,0,2,344,262,5,09/03/2020
2,2,4,412,353,5,10/03/2020
4,0,4,487,421,5,11/03/2020
5,0,5,559,573,5,12/03/2020
6,1,7,660,752,5,13/03/2020
8,1,9,762,982,953,14/03/2020
9,0,9,906,1452,1250,15/03/2020
11,2,13,1071,2035,1773,16/03/2020
14,1,15,1257,2575,2211,17/03/2020
19,0,19,1400,3123,2739,18/03/2020
27,1,28,1563,3796,3343,19/03/2020
38,0,38,1869,4700,4149,20/03/2020
48,1,49,2080,5219,4647,21/03/2020
58,3,61,2389,5952,5152,22/03/2020
75,7,82,2738,6910,5960,23/03/2020
111,10,121,2991,7668,6681,24/03/2020
160,11,171,3282,8562,7414,25/03/2020
213,16,229,3282,8562,7414,26/03/2020
344,23,367,3781,10169,8937,27/03/2020
443,37,480,4042,10706,9476,28/03/2020
575,38,613,4042,10706,9476,29/03/2020
735,62,797,4537,11794,10630,30/03/2020
868,65,933,4728,12151,11150,31/03/2020
1011,64,1075,5390,12952,12180,01/04/2020
1158,71,1229,5783,13368,12714,02/04/2020
1309,64,1373,6101,13730,13195,03/04/2020
1444,67,1511,6432,14011,13614,04/04/2020
1584,60,1644,6746,14319,14019,05/04/2020
1716,46,1762,7085,14687,14570,06/04/2020
1838,59,1897,7366,14989,14994,07/04/2020
1959,59,2018,7772,15310,15537,08/04/2020
2080,61,2141,8085,15606,15606,09/04/2020
2204,46,2250,8604,16149,16628,10/04/2020
2323,65,2388,8847,16450,17053,11/04/2020
2439,56,2495,9141,16752,17419,12/04/2020
2545,45,2590,9495,17063,17844,13/04/2020
2635,43,2678,9814,17407,18246,14/04/2020
2737,52,2789,10371,17821,18736,15/04/2020
2852,46,2898,10748,18199,19128,16/04/2020
2955,33,2988,11094,18525,19531,17/04/2020
3031,35,3066,11564,18833,19913,18/04/2020
3115,23,3138,11916,19107,20188,19/04/2020
3199,43,3242,12700,19597,20914,20/04/2020
3276,23,3299,13018,19847,21248,21/04/2020
3343,27,3370,13483,20137,21602,22/04/2020
3412,30,3442,13913,20392,21930,23/04/2020
3485,26,3511,14362,20677,22437,24/04/2020
3569,25,3594,14805,20899,22735,25/04/2020
3636,11,3647,14805,20899,22735,26/04/2020
3680,10,3690,15782,21328,23310,27/04/2020
3726,15,3741,16326,21526,23638,28/04/2020
3768,15,3783,16326,21526,23638,29/04/2020
3817,11,3828,17267,21841,24203,30/04/2020
3866,12,3878,18090,22046,24452,01/05/2020
3906,16,3922,18473,22154,24565,02/05/2020
3954,18,3972,18824,22232,24654,03/05/2020
4002,9,4011,19259,22314,24885,04/05/2020
4039,15,4054,19685,22389,25032,05/05/2020
4083,11,4094,20055,22439,25096,06/05/2020
4111,2,4113,20362,22475,25165,07/05/2020
4137,6,4143,20667,22508,25219,08/05/2020
4153,4,4157,20910,22517,25290,09/05/2020
4165,0,4165,21092,22524,25308,10/05/2020
4180,0,4180,21279,22526,25334,11/05/2020
4189,2,4191,21409,22528,25351,12/05/2020
4201,4,4205,21491,22528,25351,13/05/2020
4205,2,4207,21506,22528,25351,14/05/2020
