provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,82.21%,82.22%,82.29%,82.4%,82.52%,82.59%,82.67%,82.69%,82.83%,82.97%,83.12%,83.26%,83.36%,83.46%,83.49%,83.52%,83.61%,83.68%,83.73%,83.77%,83.8%,83.81%,83.83%,83.87%,83.89%,83.92%,83.95%,83.97%
Bolívar,209933,-1.605556000000000,-79.00305600000000,84.72%,84.72%,84.84%,84.98%,85.15%,85.38%,85.54%,85.58%,85.59%,85.76%,85.97%,86.15%,86.3%,86.43%,86.48%,86.5%,86.61%,86.72%,86.84%,86.9%,86.99%,87%,87%,87.07%,87.11%,87.17%,87.21%,87.24%
Carchi,186869,0.8121800000000000,-77.71633000000000,97.18%,97.19%,97.28%,97.36%,97.45%,97.52%,97.6%,97.61%,97.63%,97.73%,97.85%,97.97%,98.11%,98.25%,98.26%,98.27%,98.38%,98.48%,98.56%,98.63%,98.7%,98.71%,98.71%,98.79%,98.84%,98.88%,98.92%,98.97%
Cañar,281396,-2.733333000000000,-78.83333300000000,70.98%,70.98%,71.07%,71.18%,71.26%,71.4%,71.49%,71.55%,71.71%,71.88%,72.11%,72.33%,72.5%,72.68%,72.75%,72.83%,73%,73.14%,73.26%,73.37%,73.47%,73.5%,73.55%,73.64%,73.72%,73.81%,73.86%,73.9%
Chimborazo,524004,-1.674347000000000,-78.64829400000001,78.13%,78.15%,78.24%,78.36%,78.45%,78.55%,78.64%,78.67%,78.7%,78.8%,78.95%,79.08%,79.22%,79.33%,79.37%,79.42%,79.53%,79.62%,79.67%,79.71%,79.76%,79.78%,79.8%,79.86%,79.89%,79.92%,79.95%,79.99%
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,84.85%,84.86%,84.96%,85.07%,85.2%,85.34%,85.48%,85.51%,85.54%,85.71%,85.93%,86.09%,86.29%,86.45%,86.49%,86.52%,86.64%,86.74%,86.83%,86.92%,86.98%,87%,87.01%,87.08%,87.13%,87.17%,87.21%,87.25%
El Oro,715751,-3.266667000000000,-79.96666700000000,86.07%,86.07%,86.16%,86.26%,86.38%,86.5%,86.61%,86.65%,86.72%,86.85%,87.01%,87.16%,87.3%,87.42%,87.46%,87.49%,87.6%,87.69%,87.77%,87.84%,87.9%,87.92%,87.95%,88.02%,88.08%,88.13%,88.2%,88.25%
Esmeraldas,591083,1.050000000000000,-79.20000000000000,78.33%,78.33%,78.4%,78.5%,78.61%,78.74%,78.88%,78.98%,79.08%,79.31%,79.56%,79.77%,79.99%,80.17%,80.27%,80.31%,80.46%,80.65%,80.79%,80.9%,81%,81.05%,81.08%,81.18%,81.27%,81.37%,81.48%,81.57%
Galápagos,33042,-0.8000000000000000,-89.40000000000001,90.26%,90.26%,90.26%,90.26%,90.27%,90.35%,90.52%,90.52%,90.42%,90.45%,90.49%,90.51%,90.54%,90.56%,90.56%,90.56%,90.58%,90.61%,90.64%,90.82%,90.9%,90.9%,90.9%,90.92%,90.92%,90.94%,90.94%,90.98%
Guayas,4387434,-2.183333000000000,-79.88333299999999,77.31%,77.32%,77.45%,77.59%,77.76%,77.92%,78.06%,78.11%,78.14%,78.32%,78.54%,78.77%,78.98%,79.16%,79.21%,79.24%,79.41%,79.55%,79.68%,79.79%,79.9%,79.92%,79.94%,80.02%,80.09%,80.16%,80.22%,80.27%
Imbabura,476257,0.3626780000000000,-78.13066700000000,84.14%,84.14%,84.25%,84.35%,84.46%,84.59%,84.71%,84.76%,84.79%,84.96%,85.13%,85.28%,85.44%,85.58%,85.66%,85.71%,85.87%,85.99%,86.07%,86.14%,86.18%,86.2%,86.21%,86.26%,86.34%,86.4%,86.46%,86.51%
Loja,521154,-3.983333000000000,-79.20000000000000,83.39%,83.39%,83.45%,83.51%,83.57%,83.64%,83.71%,83.72%,83.74%,83.85%,83.99%,84.13%,84.27%,84.38%,84.42%,84.46%,84.54%,84.64%,84.7%,84.76%,84.8%,84.81%,84.83%,84.88%,84.92%,84.96%,84.99%,85.02%
Los Ríos,921763,-1.800000000000000,-79.53333300000000,75.01%,75.01%,75.15%,75.34%,75.57%,75.8%,76%,76.06%,76.1%,76.32%,76.58%,76.89%,77.13%,77.34%,77.39%,77.42%,77.6%,77.76%,77.91%,78.04%,78.18%,78.21%,78.24%,78.33%,78.43%,78.52%,78.61%,78.66%
Manabí,1562079,-1.056181000000000,-80.45521700000000,85.99%,85.99%,86.07%,86.18%,86.33%,86.47%,86.6%,86.64%,86.66%,86.86%,87.03%,87.2%,87.36%,87.5%,87.53%,87.54%,87.67%,87.78%,87.86%,87.94%,88.02%,88.03%,88.04%,88.11%,88.17%,88.23%,88.27%,88.31%
Morona Santiago,196535,-2.300000000000000,-78.11666700000001,61.02%,61.03%,61.2%,61.45%,61.67%,62.01%,62.03%,62.03%,62.67%,63.29%,63.85%,64.4%,64.83%,65.21%,65.27%,65.41%,65.71%,65.88%,66.03%,66.18%,66.28%,66.31%,66.36%,66.48%,66.59%,66.68%,66.77%,66.78%
Napo,133705,-0.9890000000000000,-77.81590000000000,84.35%,84.36%,84.43%,84.52%,84.62%,84.72%,84.8%,84.84%,84.87%,85.04%,85.07%,85.28%,85.36%,85.53%,85.6%,85.66%,85.79%,85.8%,85.9%,86%,86.1%,86.14%,86.16%,86.17%,86.23%,86.3%,86.38%,86.38%
