provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Azuay,881394,Camilo Ponce Enríquez,36423,-3.050000000000000,-79.73333300000000,44862,44864,44864,44948,45218,45318,45318,45318,22815,22874,22956,23053,23079,23233,23264,23264,23308,23383,23421,23465,23492,23499,23565,23577,23595,23619,23637,23675
Azuay,881394,Chordeleg,15176,-2.933333000000000,-78.76666700000000,18972,18978,19016,19040,19088,19132,19202,19202,9610,9648,9656,9663,9664,9668,9668,9675,9691,9692,9694,9697,9702,9702,9705,9716,9721,9726,9739,9745
Azuay,881394,Cuenca,636996,-2.897414000000000,-79.00448100000000,1005690,1005824,1007300,1009614,1011944,1013106,1015064,1015544,512279,513449,514594,515648,516625,517401,517728,517916,518720,519292,519717,520070,520360,520515,520608,520815,521091,521314,521544,521819
Azuay,881394,El Pan,3091,-2.786111000000000,-78.66500000000001,4176,4176,4176,4178,4178,4178,4178,4178,2089,2089,2089,2095,2095,2098,2099,2099,2101,2103,2111,2112,2113,2113,2113,2114,2114,2115,2116,2116
Azuay,881394,Girón,13037,-3.159028000000000,-79.14756800000001,20276,20288,20316,20346,20480,20582,20582,20582,10591,10607,10655,10766,10784,10800,10800,10810,10818,10830,10840,10861,10891,10891,10891,10910,10930,10945,10956,10956
Azuay,881394,Guachapala,3859,-2.769000000000000,-78.70900000000000,4752,4752,4752,4752,4752,4752,4752,4752,2376,2381,2381,2382,2382,2382,2382,2382,2382,2382,2386,2388,2388,2388,2388,2389,2389,2389,2389,2391
Azuay,881394,Gualaceo,49104,-2.900000000000000,-78.78333300000000,69722,69744,69830,70018,70168,70436,70520,70578,35302,35440,35533,35621,35686,35766,35793,35793,35840,35885,35923,35948,35967,35973,35973,36010,36019,36048,36095,36156
Azuay,881394,Nabón,17292,-3.336060000000000,-79.06368000000001,21712,21712,21732,21742,21770,21846,21846,21846,10949,10954,10959,11034,11034,11055,11059,11065,11066,11074,11088,11109,11128,11128,11140,11140,11143,11143,11191,11191
Azuay,881394,Oña,4128,-3.469640000000000,-79.15431000000000,6278,6280,6280,6280,6280,6284,6284,6284,3145,3149,3149,3150,3150,3150,3150,3151,3151,3153,3154,3166,3171,3171,3178,3178,3178,3181,3183,3185
Azuay,881394,Paute,29214,-2.781800000000000,-78.76000000000001,49496,49502,49542,49574,49624,49706,49706,49728,24914,24979,25010,25029,25068,25094,25104,25152,25177,25204,25222,25230,25244,25249,25260,25280,25294,25307,25320,25327
Azuay,881394,Pucará,10584,-3.233780000000000,-79.46120000000001,13226,13236,13236,13236,13244,13244,13244,13244,6738,6738,6858,6907,6925,6934,6936,6941,6944,6954,6956,6965,6968,6968,6973,6973,6975,7016,7023,7023
Azuay,881394,San Fernando,4156,-3.144500000000000,-79.25200000000000,6586,6586,6590,6590,6590,6590,6590,6590,3299,3299,3336,3357,3360,3360,3360,3360,3360,3381,3382,3382,3382,3382,3382,3388,3389,3391,3393,3393
Azuay,881394,Santa Isabel,20935,-3.274170000000000,-79.31560000000000,39880,39950,39986,40060,40156,40408,40408,40408,20368,20422,20471,20514,20550,20581,20588,20601,20626,20644,20659,20678,20712,20717,20722,20735,20744,20769,20788,20788
Azuay,881394,Sevilla de Oro,6890,-2.799833000000000,-78.65569400000000,6400,6402,6402,6404,6404,6406,6406,6406,3204,3204,3205,3205,3223,3224,3224,3227,3228,3228,3231,3231,3232,3232,3232,3233,3233,3233,3233,3233
Azuay,881394,Sígsig,30509,-3.089700000000000,-78.80320000000000,39542,39556,39626,39690,39762,39818,39818,39818,20138,20217,20300,20378,20473,20564,20592,20663,20708,20748,20772,20787,20807,20813,20857,20890,20917,20951,20969,20980
Bolívar,209933,Caluma,16429,-1.633330000000000,-79.25000000000000,22624,22630,22786,22908,23014,23112,23178,23190,11602,11651,11677,11710,11732,11763,11764,11765,11783,11831,11881,11909,11935,11938,11944,11961,11988,12007,12027,12037
