provincia,poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
Azuay,881394,-2.897414000000000,-79.00448100000000,153.34%,153.38%,153.58%,153.9%,154.26%,154.51%,154.75%,154.81%,78.04%,78.22%,78.42%,78.6%,78.75%,78.89%,78.94%,78.98%,79.09%,79.19%,79.26%,79.32%,79.37%,79.39%,79.42%,79.46%,79.5%,79.55%,79.6%,79.64%
Bolívar,209933,-1.605556000000000,-79.00305600000000,140.79%,140.79%,141.22%,141.72%,142.33%,143%,143.56%,143.69%,71.86%,72.11%,72.45%,72.91%,73.25%,73.49%,73.54%,73.56%,73.72%,73.9%,74.15%,74.29%,74.4%,74.41%,74.42%,74.53%,74.64%,74.84%,74.95%,75.06%
Carchi,186869,0.8121800000000000,-77.71633000000000,167.71%,167.72%,167.96%,168.16%,168.41%,168.64%,168.9%,168.93%,84.47%,84.64%,84.82%,85%,85.2%,85.41%,85.42%,85.43%,85.58%,85.69%,85.78%,85.89%,85.98%,85.99%,86%,86.11%,86.18%,86.27%,86.33%,86.39%
Cañar,281396,-2.733333000000000,-78.83333300000000,126.27%,126.27%,126.51%,126.85%,127.03%,127.34%,127.67%,127.77%,64.11%,64.37%,64.63%,64.87%,65.11%,65.3%,65.37%,65.43%,65.59%,65.73%,65.84%,65.97%,66.08%,66.13%,66.18%,66.29%,66.38%,66.48%,66.56%,66.63%
Chimborazo,524004,-1.674347000000000,-78.64829400000001,136.19%,136.27%,136.63%,137.06%,137.39%,137.73%,138.02%,138.1%,69.1%,69.29%,69.57%,69.8%,70.04%,70.24%,70.36%,70.49%,70.71%,70.85%,70.93%,70.99%,71.09%,71.13%,71.2%,71.32%,71.4%,71.46%,71.53%,71.61%
Cotopaxi,488716,-0.9333330000000000,-78.61666700000001,150.49%,150.51%,150.77%,151.18%,151.88%,152.53%,153.2%,153.27%,76.69%,76.96%,77.36%,77.6%,77.83%,78%,78.07%,78.09%,78.23%,78.49%,78.75%,78.9%,79%,79.04%,79.05%,79.15%,79.23%,79.31%,79.37%,79.44%
El Oro,715751,-3.266667000000000,-79.96666700000000,154.77%,154.77%,155.05%,155.39%,155.78%,156.12%,156.5%,156.66%,78.41%,78.62%,78.86%,79.1%,79.31%,79.52%,79.59%,79.64%,79.8%,79.94%,80.06%,80.17%,80.28%,80.32%,80.36%,80.49%,80.6%,80.69%,80.78%,80.87%
Esmeraldas,591083,1.050000000000000,-79.20000000000000,133.57%,133.58%,133.74%,134%,134.26%,134.65%,135.03%,135.23%,67.77%,68.09%,68.43%,68.72%,69.03%,69.23%,69.35%,69.39%,69.56%,69.81%,69.99%,70.14%,70.26%,70.3%,70.34%,70.45%,70.58%,70.73%,70.89%,71.03%
Galápagos,33042,-0.8000000000000000,-89.40000000000001,172.68%,172.68%,172.7%,172.77%,172.83%,173.08%,173.24%,173.24%,86.5%,86.51%,86.62%,86.64%,86.69%,86.72%,86.72%,86.72%,86.73%,86.74%,86.79%,86.94%,87.01%,87.01%,87.01%,87.04%,87.08%,87.09%,87.1%,87.19%
Guayas,4387434,-2.183333000000000,-79.88333299999999,133.89%,133.9%,134.25%,134.65%,135.05%,135.43%,135.79%,135.92%,68%,68.22%,68.44%,68.67%,68.89%,69.1%,69.15%,69.19%,69.35%,69.51%,69.65%,69.79%,69.93%,69.97%,69.99%,70.09%,70.18%,70.26%,70.36%,70.45%
